Rank,County,GDP per capita (USD),GDP PPP per capita (USD)*
1,Nairobi,"$6,591","$19,673"
2,Mombasa,"$4,114","$12,274"
3,Nyeri,"$2,635","$7,862"
4,Embu,"$2,590","$7,729"
5,Nakuru,"$2,497","$7,449"
6,Meru,"$2,476","$7,389"
7,Machakos,"$2,457","$7,331"
8,Nyandarua,"$2,388","$7,125"
9,Kiambu,"$2,351","$7,016"
10,Elgeyo/Marakwet,"$2,320","$6,922"
11,Uasin Gishu,"$2,315","$6,907"
12,Lamu,"$2,270","$6,773"
13,Kisumu,"$2,265","$6,758"
14,Kirinyaga,"$2,190","$6,534"
15,Taita/Taveta,"$2,060","$6,146"
16,Murang'a,"$2,041","$6,090"
17,Kericho,"$2,014","$6,009"
18,Nyamira,"$1,982","$5,914"
19,Nandi,"$1,888","$5,634"
20,Laikipia,"$1,828","$5,454"
21,Bomet,"$1,802","$5,377"
22,Trans Nzoia,"$1,766","$5,270"
23,Tharaka-Nithi,"$1,751","$5,225"
24,Kisii,"$1,641","$4,896"
25,Kilifi,"$1,550","$4,625"
26,Narok,"$1,504","$4,488"
27,Kajiado,"$1,454","$4,339"
28,Vihiga,"$1,426","$4,255"
29,Kwale,"$1,359","$4,055"
30,Turkana,"$1,320","$3,938"
31,Marsabit,"$1,307","$3,900"
32,Bungoma,"$1,303","$3,888"
33,West Pokot,"$1,246","$3,718"
34,Homa Bay,"$1,239","$3,697"
35,Baringo,"$1,233","$3,680"
36,Kitui,"$1,223","$3,649"
37,Kakamega,"$1,204","$3,593"
38,Siaya,"$1,178","$3,516"
39,Makueni,"$1,171","$3,494"
40,Migori,"$1,125","$3,357"
41,Isiolo,"$1,109","$3,309"
42,Tana River,"$1,097","$3,273"
43,Busia,"$1,038","$3,097"
44,Samburu,$972,"$2,900"
45,Garissa,$729,"$2,175"
46,Mandera,$697,"$2,079"
47,Wajir,$664,"$1,981"
